game_a,text_a,level_id_a,game_b,text_b,level_id_b
the_legend_of_zelda,waterfloor zigzag path through floor grid,192,super_mario_bros,ground with pipe on right and stepped breakable block pillars on left,9
dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,two separated ground platforms with goomba on left and coins at edges,145
the_legend_of_zelda,square floor room with central blocks and side doors,168,super_mario_bros,two elevated ground platforms with goomba on top and coins upper right,528
lode_runner,ground border diggable ground central block ladders right and top rope top gold scattered enemy,249,dungeon,walls form central blocks with bats clustered in lower left and right,257
dungeon,walls form central open area with bats around edges and bottom path,122,the_legend_of_zelda,floor with diagonal wall zigzag in right half,175
super_mario_bros,rising ground staircase slope with left floating ground platform,206,the_legend_of_zelda,checkerboard floor with four block diamond clusters near center,401
dungeon,cross shaped wall with bats around and open path edges,227,the_legend_of_zelda,central floor with scattered blocks and surrounding wall,366
the_legend_of_zelda,floor with diagonal wall zigzag in right half,175,dungeon,walls form central block with right looped path and scattered bats,197
lode_runner,ground maze with ladders ropes gold scattered enemy top center,451,dungeon,bats clustered in top center above scattered wall blocks and open paths,340
super_mario_bros,flat ground platform with three goomba spaced across,382,dungeon,scattered wall blocks with bats across open paths,348
the_legend_of_zelda,large open floor room surrounded by wall with two door openings left and right,265,lode_runner,ground border diggable ground center ladder right rope none gold scattered enemy left,125
the_legend_of_zelda,rectangular wall border with inner water pool surrounded by floor corridor and side doors,80,lode_runner,ground maze left diggable ground right ladder center rope right gold left enemy top right,92
super_mario_bros,scattered ground platforms with a pipe on left and a cannon on right,390,dungeon,central open area with surrounding wall blocks and bats along edges and paths,253
lode_runner,ground bottom band diggable ground central blocks gold scattered mid enemy pink left mid rope top,338,dungeon,grid of wall blocks with scattered bats and narrow paths,176
lode_runner,ground border diggable ground left wall platforms gold scattered upper mid enemy mid rope top ladder,344,super_mario_bros,two pipes on ground with goombas and small breakable block platforms above,268
the_legend_of_zelda,square floor room with central block cluster and surrounding wall,456,dungeon,spiral wall path with bats clustered on right side,156
the_legend_of_zelda,central stair with scattered blocks on floor inside surrounding wall,238,dungeon,bats clustered along left wall with winding path to right,322
the_legend_of_zelda,square floor room with two monsters centered and doors top bottom,241,lode_runner,ground left platforms diggable ground right wall ladder center rope none gold top left enemy center,407
dungeon,walls form scattered blocks with winding paths between them,298,super_mario_bros,flat ground with three pipes and scattered goombas and a question block overhead,275
the_legend_of_zelda,square floor bordered by wall with central stair,354,lode_runner,ground border maze diggable ground corridors ladders right gold scattered enemy none,19
dungeon,walls form scattered blocks with bats on them and winding paths between,355,lode_runner,ground bottom band ladder right edge gold scattered mid enemypink person left mid,271
the_legend_of_zelda,open floor room with two monsters centered and door at bottom,207,dungeon,bats clustered along right wall with central winding path,48
dungeon,two bat clusters separated by central path corridors and surrounding wall blocks,132,the_legend_of_zelda,diagonal wall band across floor with doors top and bottom,480
super_mario_bros,ground left and bottom with scattered breakable block platforms and coin cluster,40,the_legend_of_zelda,square wall border with large central floor area and left door,489
the_legend_of_zelda,square floor room with four monsters near corners and side doors,418,lode_runner,ground bottom right ladders right rope mid gold upper right enemy left,343
dungeon,two bat clusters separated by central path corridors and surrounding wall blocks,132,the_legend_of_zelda,large floor room with central wall pillar and two side doors,319
dungeon,path forms t shape walls with bat clusters in corners,318,super_mario_bros,flat ground with two goomba between two pipe,433
lode_runner,ground border maze diggable ground corridors ladders right gold scattered enemy none,19,the_legend_of_zelda,spiral wall corridor with waterfloor channel inside,294
dungeon,walls form central blocks with bats clustered in lower left and right,257,the_legend_of_zelda,three vertical floor corridors separated by wall blocks,518
super_mario_bros,staircase breakable block pyramid on ground with goomba right,371,dungeon,walls form e shape with bats scattered along paths,236
lode_runner,ground bottom left slope diggable ground above ladder center rope top gold scattered enemy none,421,super_mario_bros,ground forms u shaped pit with goombas on top and lone breakable block above,501
dungeon,walls form central spiral path with bats scattered throughout,16,the_legend_of_zelda,waterfloor zigzag river through central floor with surrounding wall,427
dungeon,central winding path with scattered bats and surrounding wall blocks,555,the_legend_of_zelda,square floor arena with central block ring and four side doors,310
dungeon,walls form central block with paths around and bats clustered top and right,20,the_legend_of_zelda,large open floor room enclosed by wall with single door bottom,58
the_legend_of_zelda,ring wall corridor with monsters clustered center,417,dungeon,walls form central open area with bats around edges and bottom path,122
lode_runner,ground bottom band ladder right edge gold scattered mid enemypink person left mid,271,super_mario_bros,ground platform with left ledge and central vertical wall goomba pair,33
super_mario_bros,three brick platforms scattered upper right and center with small lower center block and coins left and,161,the_legend_of_zelda,spiral wall corridor with waterfloor channel inside,294
lode_runner,ground bottom band diggable ground right block ladder center rope left gold scattered enemy upper right,363,super_mario_bros,three separated ground platforms with coins above and between,251
the_legend_of_zelda,ring wall corridor with monsters clustered center,417,dungeon,wall maze with central path and bats scattered throughout,53
super_mario_bros,ground across bottom with goomba left and question block row above,393,the_legend_of_zelda,waterfloor spiral around central blocks within outer wall ring,105
the_legend_of_zelda,floor ring around central block with left door,326,lode_runner,ground border diggable ground right column gold top center enemy mid right ladder left rope top,7
the_legend_of_zelda,rectangular wall border with inner water pool surrounded by floor corridor and side doors,80,dungeon,bats clustered along left wall with winding path to right,322
dungeon,walls form scattered blocks with bats along paths around center,102,lode_runner,ground bottom left ladder center gold scattered upper right enemypink person,436
lode_runner,ground bottom band ladder center gold left enemypink person upper center diggable ground,320,the_legend_of_zelda,large square floor room enclosed by wall with central stair,255
the_legend_of_zelda,waterfloor maze corridors around central blocks with doors north south,419,super_mario_bros,staggered brick platforms with question blocks left and tall brick wall right,173
dungeon,scattered wall blocks with bats along narrow paths,414,the_legend_of_zelda,square floor room with four blocks and one door south,545
dungeon,spiral wall path with bats around edges and one central bat,189,super_mario_bros,staircase ground rising to right then flat ground,443
the_legend_of_zelda,open floor with scattered blocks and one door on left,135,super_mario_bros,ground forms left wall and bottom floor with small step on right,328
lode_runner,ground bottom left ladder far left gold scattered mid and top enemy center,512,super_mario_bros,staircase ground rising left to right with question block row and goomba on right,337
the_legend_of_zelda,open floor with diagonal block line and scattered blocks,426,super_mario_bros,ground with long breakable block platform top center and small breakable block ledge right,502
the_legend_of_zelda,diagonal wall band across floor with doors top and bottom,480,super_mario_bros,ground valley with left pipe and right stepped ground wall,289
dungeon,walls form scattered blocks with winding paths between them,57,super_mario_bros,ground platform center with upper left breakable block row and upper right coin row,486
the_legend_of_zelda,large open floor with wall border and right side block cluster near door,525,super_mario_bros,flat ground with scattered goomba and pipe at right,151
the_legend_of_zelda,square wall ring with central water corridor,537,lode_runner,ground bottom left slope diggable ground above ladder center rope top gold scattered enemy none,421
lode_runner,ground bottom band diggable ground left mass ladder left rope mid gold scattered enemy center,111,the_legend_of_zelda,floor ring around central block with left door,326
super_mario_bros,flat ground with tall pipe right and two question block rows left,461,dungeon,walls form maze paths with bats clustered along bottom and center,295
the_legend_of_zelda,square wall border with central floor area,484,super_mario_bros,flat ground then rising staircase of breakable block on right with coins above,399
super_mario_bros,flat ground with two cannons and one goomba,5,lode_runner,ground left platforms diggable ground right wall ladder center rope none gold top left enemy center,407
lode_runner,ground border diggable ground top right gold top right ladder left rope mid left enemyp,544,the_legend_of_zelda,large central floor square surrounded by wall ring and inner block border,25
the_legend_of_zelda,central stair surrounded by scattered blocks on open floor within walls,177,super_mario_bros,ground platforms separated by gaps,429
super_mario_bros,pipes of varying heights on continuous ground with goombas on pipes,205,dungeon,central path with two bat pairs between walls,65
dungeon,bats clustered on left near wall with open path right,530,the_legend_of_zelda,floor with diagonal wall zigzag in right half,175
dungeon,bats clustered on left near wall with open path right,530,the_legend_of_zelda,central block cluster with one monster on floor,24
lode_runner,ground clusters left and right diggable ground center ladder rope gold scattered enemy pink person upper,44,super_mario_bros,two elevated ground platforms with goomba on long top platform and coins above right ground stack,117
dungeon,scattered wall blocks with narrow path gaps no bat,452,the_legend_of_zelda,large open floor room enclosed by wall with single door at bottom,119
super_mario_bros,two elevated ground platforms with goomba on long top platform and coins above right ground stack,117,lode_runner,ground border diggable ground central block gold left and right enemy top center ladders sides,297
dungeon,walls form central block with paths around and bats clustered top and right,20,lode_runner,ground diagonal left mass ladders along slope gold mid left enemy right ground,52
the_legend_of_zelda,square floor room enclosed by wall with door openings on left and top,453,lode_runner,ground border diggable ground right column gold top center enemy mid right ladder left rope top,7
lode_runner,ground border diggable ground left block gold top left enemy bottom left ladders center right,498,super_mario_bros,flat ground with central pipe and two goomba,423
lode_runner,ground border diggable ground center gold scattered ladders left right rope top enemy right,54,the_legend_of_zelda,central floor room with two wall pillars and four monsters near center,204
super_mario_bros,flat ground with left pipe and right goombas and central question block above,334,dungeon,path zigzag corridors with two bat near center and walls around,214
dungeon,scattered walls with bats in open areas and winding paths,107,lode_runner,ground border diggable ground center ladders left right rope top gold scattered enemy center,11
super_mario_bros,ground along bottom with scattered breakable block platforms and coin row near top,472,the_legend_of_zelda,large open floor with wall border and blocks clustered on right,46
dungeon,central cross path with walls and bat clusters top left and top right,146,the_legend_of_zelda,central water surrounded by floor ring and outer wall with two doors,395
lode_runner,ground border diggable ground platforms ladders left center rope top center gold scattered enemy center,137,dungeon,scattered wall blocks with open path and bats dispersed,202
the_legend_of_zelda,floor grid with scattered blocks inside surrounding wall,248,dungeon,central winding path through walls with bats scattered around,369
the_legend_of_zelda,large open floor room enclosed by wall with one door on right and one door bottom,391,dungeon,central path with walls and bats clustered upper left and upper right,282
the_legend_of_zelda,large open floor room with central wall pillar and left door,235,lode_runner,ground bottom left ladders right rope top gold center enemypink,442
the_legend_of_zelda,floor grid with two symmetric block diamond clusters near center,470,super_mario_bros,ground left and bottom with scattered breakable block platforms and coin cluster,40
lode_runner,ground bottom right ladders right rope mid gold upper right enemy left,343,dungeon,spiral wall path with bats around edges and one central bat,189
the_legend_of_zelda,floor with diagonal wall zigzag in right half,175,dungeon,spiral wall path with bats around edges and one central bat,189
lode_runner,ground platforms across middle and bottom ladder center rope top left gold scattered enemy pink person center,75,dungeon,scattered wall blocks with narrow path gaps no bat,452
lode_runner,ground bottom band ladders left and center rope mid gold right enemy top left,131,dungeon,two bat clusters separated by central path corridors and surrounding wall blocks,132
the_legend_of_zelda,large open floor room enclosed by wall with single door opening on right,82,dungeon,walls form central blocks with bats clustered in lower left and right,257
lode_runner,ground border diggable ground central columns gold mid right enemy top left ladder bottom left rope,312,super_mario_bros,ground with long breakable block platform top center and small breakable block ledge right,502
the_legend_of_zelda,central block diamond cluster with monster near top and right door,362,lode_runner,ground bottom band ladders left and center rope mid gold right enemy top left,131
the_legend_of_zelda,square floor room with wall border and two blocks inside,148,super_mario_bros,ground platforms separated by gaps,429
super_mario_bros,ground platform center with upper left breakable block row and upper right coin row,486,the_legend_of_zelda,square floor room enclosed by wall with two monsters centered vertically,333
the_legend_of_zelda,water forms large rectangular ring around central floor corridor,288,dungeon,walls form central path with bat clusters left and bottom right,434
the_legend_of_zelda,wall border enclosing large central floor area,286,dungeon,two bat clusters separated by central path corridors and surrounding wall blocks,132
super_mario_bros,ground with single pipe at far left and mid raised breakable block platform,323,the_legend_of_zelda,square floor room enclosed by wall with door openings on left and top,453
dungeon,central vertical wall with cross paths and bats around edges,178,lode_runner,ground left slope diggable ground right blocks ladder center rope none gold scattered enemy none,211
dungeon,walls form central open area with bats around edges and bottom path,122,the_legend_of_zelda,water forms large c shape around central floor blocks,42
lode_runner,ground bottom left slope diggable ground above ladder center rope top gold scattered enemy none,421,dungeon,path with bat cluster in upper right near wall,347
lode_runner,ground bottom band diggable ground central blocks gold scattered mid enemy pink left mid rope top,338,the_legend_of_zelda,waterfloor zigzag path through floor grid,192
dungeon,bats clustered top left and bottom left along walls with central paths,406,lode_runner,ground border diggable ground central block gold left and right enemy top center ladders sides,297
super_mario_bros,ground platforms split left and right with question block pair upper left,84,dungeon,scattered wall blocks with open path areas and no bat,365
dungeon,walls form scattered blocks with winding paths and bats spread around,90,super_mario_bros,flat ground with gap right and two question block above,420
dungeon,central path with bats scattered and surrounding wall,474,the_legend_of_zelda,square floor room with four monsters near corners and left door,180
dungeon,walls form scattered blocks with winding paths between them,35,lode_runner,ground border maze diggable ground pockets ladders left center ropes sparse gold clusters left bottom,186
dungeon,scattered wall blocks with bats in open areas and winding paths,520,super_mario_bros,flat ground with three pipes and two goomba on pipes,79
super_mario_bros,scattered breakable block platforms with goomba on central platform and coins at top left,523,lode_runner,ground platforms across middle and bottom ladder center rope top left gold scattered enemy pink person center,75
dungeon,walls form scattered rooms with central path and bats spread throughout,256,lode_runner,ground borders diggable ground center ladders vertical rope left gold scattered enemy upper center,242
